audit_id,audit_channel,comment_text,platform,gendered_harm_proba,harm_role,annotator_a_perpetrator,annotator_a_role,annotator_a_notes,annotator_b_spotcheck,annotator_b_perpetrator,final_perpetrator,is_spotcheck
SAM_19,Samantha Bee,"Yeah, because the internet is FULL of people respectful to women.",YouTube,0.4736,perpetrator_attack,,,,,,,False
SAM_20,Samantha Bee,"Liz, I think they should give you the show instead >_> you seem to understand sarcasm and satire more than the host.",YouTube,0.4021,perpetrator_attack,,,,,,,False
SAM_21,Samantha Bee,So true.,YouTube,0.5064,perpetrator_attack,,,,,,,False
SAM_22,Samantha Bee,"so is.... everything in society.... But isn't it funny how all of men's feelings are seen as ""logical"" and ""natural"" or at least ""inevitable""? Whereas women's feelings— if they don't directly benefit a man or men—are seen as ""hysterical"" at worst or ""petty"" at best, and overall just a big feminine nuisance?",YouTube,0.7616,perpetrator_attack,,,,,,,False
SAM_23,Samantha Bee,Gramifyed so true,YouTube,0.5064,perpetrator_attack,,,,,,,False
SAM_24,Samantha Bee,"Guys don't worry the list of men ""isn't about men"" 👍",YouTube,0.4601,perpetrator_attack,,,,,,,False
SAM_25,Samantha Bee,They give it attention rather than the real stories because it gives “evidence” to the narrative that all women are liars. They ignore anything that actually proves abuse.,YouTube,0.7309,perpetrator_attack,,,,,,,False
SAM_26,Samantha Bee,Paul I hate when people do that and bring politics into it. Even you have to admit making baseless claims without evidence is false. A “Democracy”  is a system of government by definition in which you are innocent until proven guilty. You are basically saying that Women should be given the right to falsely destroy careers over something that may not be true. Doesn’t that violate a belief of a “Democracy”.,YouTube,0.6672,perpetrator_attack,,,,,,,True
SAM_27,Samantha Bee,#metoo deserves backlash,YouTube,0.4158,perpetrator_attack,,,,,,,False
SAM_28,Samantha Bee,"Caroleeena
Why do you say it's MRA'S? Feminists have left a long wake of ""red pilled"" people during their escapades wrecking whatever they could get their dirty hands on over the last few years. From anime and atheism to gaming and metal.  Feminists have shown their true colours even shamelessly in parliament belittling men and boys.",YouTube,0.6439,perpetrator_attack,,,,,,,False
SAM_29,Samantha Bee,"I agree with the entire movement! I absolutely disagree with the public disgracing of men who weren't good lovers, in particular if the women never as much as indicated a ""no"" during the encounter. If you claim that men should be sensitive and check if their partner really wants to go on, what about the self responsibility of women! I need nobody checking up and taking responsibility for my feelings, I am my own mistress!",YouTube,0.6759,perpetrator_attack,,,,,,,True
